zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
85033,04013109400,PHOENIX,AZ,0.00098912,0.001430615,0,0.000995491
85033,04013109704,PHOENIX,AZ,0.037339268,0.010014306,0,0.035779118
85033,04013109602,PHOENIX,AZ,0.112388724,0.080114449,0.435643564,0.114891374
85079,04013109101,PHOENIX,AZ,1,1,1,1
85048,04013116719,PHOENIX,AZ,0,0.084548105,0.033444816,0.004434301
85048,04013116728,PHOENIX,AZ,0.085156794,0.067055394,0.555183946,0.093511575
85048,04013116729,PHOENIX,AZ,0.089965157,0.002915452,0,0.084316922
85048,04013116733,PHOENIX,AZ,0.008362369,0,0,0.007825236
85048,04013116713,PHOENIX,AZ,0.157700348,0.083090379,0.066889632,0.15259211
85048,04013116714,PHOENIX,AZ,0.089965157,0.032069971,0.013377926,0.085881969
85048,04013116721,PHOENIX,AZ,0.085505226,0.080174927,0.026755853,0.084121291
85048,04013116727,PHOENIX,AZ,0.07184669,0.017492711,0.013377926,0.068275187
85048,04013116712,PHOENIX,AZ,0.242090592,0.444606414,0.210702341,0.250537985
85048,04013116725,PHOENIX,AZ,0.169407666,0.188046647,0.080267559,0.168503424
85041,04013116733,PHOENIX,AZ,0,0.003220612,0,9.65437E-05
85041,04013112514,PHOENIX,AZ,0.00010141,0.028985507,0.010723861,0.001158525
85041,04013116500,PHOENIX,AZ,0.053848494,0.025764895,0.142091153,0.054595482
85041,04013116612,PHOENIX,AZ,0.080722036,0.011272142,0,0.077186716
85041,04013115700,PHOENIX,AZ,0.095223608,0.085346216,0.134048257,0.095626569
85041,04013116602,PHOENIX,AZ,0.120728121,0.086956522,0.142091153,0.120100405
85041,04013116732,PHOENIX,AZ,0.073319136,0.01610306,0.008042895,0.070428654
85041,04013117300,PHOENIX,AZ,0.004157793,0.093397746,0.026809651,0.00724078
85041,04013116605,PHOENIX,AZ,0.000557753,0,0,0.000530991
85041,04013115802,PHOENIX,AZ,0.064040158,0.053140097,0.112600536,0.064587758
85041,04013115500,PHOENIX,AZ,0.051921712,0.098228663,0.040214477,0.053099054
85041,04013116613,PHOENIX,AZ,0.144305851,0.098228663,0.075067024,0.14167793
85041,04013115600,PHOENIX,AZ,0.065662712,0.045088567,0.09383378,0.065553196
85041,04013116606,PHOENIX,AZ,0.09715039,0.077294686,0.067024129,0.096012744
85041,04013115400,PHOENIX,AZ,0.017797384,0.056360709,0.056300268,0.01964665
85041,04013116702,PHOENIX,AZ,0.065206369,0.053140097,0.032171582,0.064249855
85041,04013114800,PHOENIX,AZ,0.008721225,0.070853462,0.026809651,0.010909442
85041,04013116607,PHOENIX,AZ,0.056535848,0.096618357,0.032171582,0.057298706
85066,04013116400,PHOENIX,AZ,1,1,1,1
85015,04013108902,PHOENIX,AZ,0.091312258,0.03988604,0.17830778,0.09521515
85015,04013106702,PHOENIX,AZ,0.004150557,0.000712251,0.001135718,0.003662121
85015,04013109003,PHOENIX,AZ,0.11922902,0.069088319,0.17830778,0.120849998
85015,04013106701,PHOENIX,AZ,0.097395952,0.029202279,0.060760931,0.089673782
85015,04013111900,PHOENIX,AZ,0.00073914,0.005698006,0.001703578,0.001156459
85015,04013108901,PHOENIX,AZ,0.030247896,0.036324786,0.032367973,0.030838915
85015,04013109002,PHOENIX,AZ,0.099044803,0.101851852,0.057353776,0.095697008
85015,04013117000,PHOENIX,AZ,0.146008642,0.086182336,0.076093129,0.136028526
85015,04013107300,PHOENIX,AZ,0.10171708,0.171652422,0.081203861,0.104707753
85015,04013116800,PHOENIX,AZ,0.000568569,0.004985755,0.000567859,0.000867344
85015,04013107400,PHOENIX,AZ,0.117068456,0.211538462,0.112436116,0.123066545
85015,04013110400,PHOENIX,AZ,0.072037753,0.079059829,0.109028961,0.075651713
85015,04013106703,PHOENIX,AZ,0.033147601,0.014957265,0.003975014,0.029441527
85015,04013106802,PHOENIX,AZ,0.087332272,0.148860399,0.106757524,0.09314316
85064,04013107700,PHOENIX,AZ,1,1,1,1
85051,04013104205,PHOENIX,AZ,0.164616671,0.456282145,0.14116095,0.184714051
85051,04013105900,PHOENIX,AZ,0.13344877,0.121234386,0.156992084,0.133513542
85051,04013104206,PHOENIX,AZ,0.087294005,0.030124908,0.065963061,0.082313033
85051,04013106801,PHOENIX,AZ,0.00304514,0.015429831,0.009234828,0.004187205
85051,04013105800,PHOENIX,AZ,0.130164796,0.10286554,0.056728232,0.125245137
85051,04013107000,PHOENIX,AZ,0.026510628,0.023512123,0.003957784,0.025388244
85051,04013105701,PHOENIX,AZ,0.074337234,0.060249816,0.027704485,0.071447501
85051,04013106001,PHOENIX,AZ,0.038631478,0.030124908,0.230870712,0.045741241
85051,04013106900,PHOENIX,AZ,0.001791259,0.024246877,0.009234828,0.003710182
85051,04013105601,PHOENIX,AZ,0.070575591,0.031594416,0.014511873,0.06551121
85051,04013105702,PHOENIX,AZ,0.08663721,0.047759001,0.065963061,0.083002067
85051,04013105602,PHOENIX,AZ,0.149510389,0.038207201,0.186015831,0.142948004
85051,04013105501,PHOENIX,AZ,0.033436828,0.018368846,0.031662269,0.032278582
85012,04013110502,PHOENIX,AZ,0.453142432,0.455179817,0.418079096,0.4520079
85012,04013106600,PHOENIX,AZ,0.136481964,0.00805153,0.048022599,0.100855826
85012,04013111800,PHOENIX,AZ,0.031238379,0.022544283,0.124293785,0.033443055
85012,04013117100,PHOENIX,AZ,0.089066567,0.020397209,0.025423729,0.06925609
85012,04013107500,PHOENIX,AZ,0.150427668,0.148684917,0.172316384,0.151020408
85012,04013110501,PHOENIX,AZ,0,0.280193237,0.073446328,0.072152732
85012,04013108802,PHOENIX,AZ,0.13964299,0.064949007,0.138418079,0.121263989
85036,04013117200,PHOENIX,AZ,1,1,1,1
85042,04013116703,PHOENIX,AZ,0.102601331,0.047101449,0.095338983,0.100660818
85042,04013116702,PHOENIX,AZ,0.107138536,0.081521739,0.076271186,0.105503019
85042,04013116300,PHOENIX,AZ,0.121173624,0.117753623,0.514830508,0.131650906
85042,04013116205,PHOENIX,AZ,0.113127647,0.023550725,0.016949153,0.107724735
85042,04013113900,PHOENIX,AZ,6.04961E-05,0,0,5.69671E-05
85042,04013116602,PHOENIX,AZ,0.001935874,0,0,0.001822946
85042,04013116203,PHOENIX,AZ,0.130248034,0.119565217,0.052966102,0.127834112
85042,04013116732,PHOENIX,AZ,0.006654567,0,0.004237288,0.006380312
85042,04013116704,PHOENIX,AZ,0.188868724,0.161231884,0.059322034,0.18451635
85042,04013116202,PHOENIX,AZ,0.085057471,0.063405797,0.016949153,0.082545289
85042,04013116500,PHOENIX,AZ,0.031881428,0.288043478,0.06779661,0.040902358
85042,04013116204,PHOENIX,AZ,0.008287961,0.007246377,0.004237288,0.008146291
85042,04013116733,PHOENIX,AZ,0.004355717,0.010869565,0,0.004443432
85042,04013116400,PHOENIX,AZ,0.09860859,0.079710145,0.091101695,0.097812464
85082,04013113801,PHOENIX,AZ,1,1,1,1
85034,04013115200,PHOENIX,AZ,0,0.067507117,0.041968162,0.032402792
85034,04013114900,PHOENIX,AZ,0,0.008133388,0.005788712,0.003988036
85034,04013114000,PHOENIX,AZ,0.382147838,0.142740952,0.20984081,0.264539714
85034,04013113802,PHOENIX,AZ,0.000348675,0.224074827,0.099855282,0.103190429
85034,04013117200,PHOENIX,AZ,0.121687587,0.244001627,0.228654124,0.183948156
85034,04013113801,PHOENIX,AZ,0.344490934,0.214721431,0.15195369,0.269358591
85034,04013113900,PHOENIX,AZ,0.15097629,0.097600651,0.261939219,0.141907611
85034,04013114200,PHOENIX,AZ,0.000348675,0.001220008,0,0.000664673
85071,04013103900,PHOENIX,AZ,1,1,1,1
85068,04013104701,PHOENIX,AZ,1,1,1,1
85014,04013106501,PHOENIX,AZ,0.123090354,0.093441672,0.125074449,0.120633777
85014,04013117100,PHOENIX,AZ,0,0.000580383,0,5.1443E-05
85014,04013110502,PHOENIX,AZ,0.026189437,0.038885665,0.01131626,0.026030146
85014,04013110600,PHOENIX,AZ,0.176342209,0.130586187,0.150089339,0.170019034
85014,04013111700,PHOENIX,AZ,0.004427262,0.015089959,0.008933889,0.005761613
85014,04013106600,PHOENIX,AZ,0.009727505,0.057457922,0.014889815,0.014404033
85014,04013107602,PHOENIX,AZ,0.087859325,0.108531631,0.073257892,0.088430475
85014,04013108802,PHOENIX,AZ,0,0.016250725,0.003573556,0.001749061
85014,04013107500,PHOENIX,AZ,0,0.040046431,0.006551519,0.004115438
85014,04013106502,PHOENIX,AZ,0.119224294,0.060359837,0.195354378,0.120582334
85014,04013108602,PHOENIX,AZ,0.1966702,0.15960534,0.153662895,0.189670251
85014,04013107601,PHOENIX,AZ,0.144291326,0.196749855,0.120309708,0.146869695
85014,04013108601,PHOENIX,AZ,0.112178088,0.082414393,0.136986301,0.1116827
85045,04013116731,PHOENIX,AZ,0.446238295,0,0,0.44551902
85045,04013116733,PHOENIX,AZ,0.002583145,0,0,0.002578981
85045,04013116730,PHOENIX,AZ,0.249919277,0,0,0.249516441
85045,04013116728,PHOENIX,AZ,0.111398127,0.333333333,0,0.111540941
85045,04013116727,PHOENIX,AZ,0.189861156,0.666666667,1,0.190844616
85019,04013109200,PHOENIX,AZ,0.159682081,0.340707965,0.214765101,0.174676724
85019,04013107102,PHOENIX,AZ,0.219653179,0.072271386,0.241610738,0.209590517
85019,04013112202,PHOENIX,AZ,0,0.044247788,0.013422819,0.003663793
85019,04013112201,PHOENIX,AZ,0.000481696,0.026548673,0.006711409,0.002586207
85019,04013107101,PHOENIX,AZ,0.143304432,0.032448378,0.040268456,0.131896552
85019,04013107000,PHOENIX,AZ,0.26083815,0.066371681,0.177852349,0.243965517
85019,04013110100,PHOENIX,AZ,0.216040462,0.41740413,0.305369128,0.23362069
85005,04013114600,PHOENIX,AZ,1,1,1,1
