GEOID10,GEOID20,WEIGHT,PAREA
40130101012040,40130101032093,0.171534149,0.095211037
40130101012041,40130101032090,0.907407407,0.918682933
40130101012041,40130101032091,0.092592593,0.081317067
40130101012042,40130101032039,1,1
40130101012043,40130101032092,0.543174578,0.700554989
40130101012043,40130101032093,0.456825422,0.299445011
40130101012044,40130101032099,0,0.222481438
40130101012044,40130101032100,0.339415972,0.291198979
40130101012044,40130101032103,0.659041576,0.474392882
40130101012044,40130101032104,0.001542452,0.0119267
40130101012045,40130101041019,1,1
40130101012046,40130101041019,1,1
40130101012047,40130101032027,0,0.240272187
40130101012047,40130101032044,0,0.488451217
40130101012047,40130101032045,0.180908397,0.034502588
40130101012047,40130101032046,0.819091603,0.236774008
40130101012048,40130101032092,1,1
40130101012049,40130101032099,0,0.063372448
40130101012049,40130101032103,0.153511381,0.074234072
40130101012049,40130101032104,0.021374187,0.111028825
40130101012049,40130101032105,0.143834559,0.07722156
40130101012049,40130101032106,0.077449378,0.142232648
40130101012049,40130101032107,0.177027149,0.092353365
40130101012049,40130101032108,0.077449378,0.096652234
40130101012049,40130101032124,0.006363866,0.007847791
40130101012049,40130101032125,0.110641968,0.30784943
40130101012049,40130101032126,0.232348134,0.027207627
40130101012050,40130101032101,0,0.364125626
40130101012050,40130101032102,1,0.635874374
40130101012051,40130101041018,1,1
40130101012052,40130101041008,0.001397885,0.002623392
40130101012052,40130101041018,0.998602115,0.997376608
40130101012053,40130101041018,1,1
40130101012054,40130101041007,0,0.394886364
40130101012054,40130101041018,1,0.605113636
40130101012055,40130101041007,0,0.959507558
40130101012055,40130101041008,0.005806655,0.000876189
40130101012055,40130101041017,0.686583103,0.01491338
40130101012055,40130101041018,0.307610242,0.024702873
40130101012056,40130101043007,0.063817645,0.063817645
40130101012056,40130101043019,0.936182355,0.936182355
40130101012057,40130101043004,0.219015189,0.219015189
40130101012057,40130101043007,0.568054469,0.568054469
40130101012057,40130101043019,0.212930341,0.212930341
40130101012058,40130101043007,1,1
40130101012059,40130101043007,1,1
40130101012060,40130101043004,0.539453113,0.539453113
40130101012060,40130101043007,0.460546887,0.460546887
40130101012061,40130101043007,1,1
40130101012062,40130101043004,0.339190597,0.339190597
40130101012062,40130101043007,0.514491823,0.514491823
40130101012062,40130101043008,0.14631758,0.14631758
40130101012063,40130101043004,1,1
40130101012064,40130101043003,1,1
40130101012065,40130101043000,0,0.044474679
40130101012065,40130101043001,0.803196229,0.672371249
40130101012065,40130101043003,0.058078312,0.08907821
40130101012065,40130101043006,0.077979526,0.105255355
40130101012065,40130101043011,0.060745933,0.088820507
40130101012066,40130101043002,1,1
40130101012067,40130101043005,1,1
40130101012068,40130101032109,1,1
40130101012069,40130101032110,0.816435634,0.542046061
40130101012069,40130101032111,0.144076877,0.335380226
40130101012069,40130101032124,0.03948749,0.122573712
40130101012070,40130101032066,0.010328561,0.007788872
40130101012070,40130101032067,0.049228342,0.028754437
40130101012070,40130101032086,0.044046411,0.116246486
40130101012070,40130101032087,0.142503095,0.132154927
40130101012070,40130101032095,0.020727723,0.070791424
40130101012070,40130101032096,0.03886448,0.035039426
40130101012070,40130101032097,0.001830017,0.006309485
40130101012070,40130101032098,0,0.056825171
40130101012070,40130101032112,0.098456683,0.046180321
40130101012070,40130101032113,0.044046411,0.053781098
40130101012070,40130101032114,0.044046411,0.009143592
40130101012070,40130101032115,0.028500619,0.04240924
40130101012070,40130101032116,0.093274753,0.057528558
40130101012070,40130101032117,0.274642328,0.157771681
40130101012070,40130101032122,0.060275825,0.080783192
40130101012070,40130101032123,0.03368255,0.027052835
40130101012070,40130101032128,0.015545792,0.023545962
40130101012070,40139807001003,0,0.047893295
40130101012071,40130101032066,1,1
40130101012072,40130101032088,0.067300464,0.10808053
40130101012072,40130101032089,0.847985845,0.683746619
40130101012072,40130101032097,0.084713691,0.208172851
40130101012073,40130101043010,1,1
40130101012074,40130101043009,1,1
40130101012075,40130101043015,1,1
40130101012076,40130101043009,1,1
40130101012077,40130101043016,0.428571429,0.415156728
40130101012077,40130101043017,0.571428571,0.584843272
40130101012078,40130101043006,1,1
40130101012079,40130101043018,0.993099619,0.993099619
40130101012079,40130101043019,0.006900381,0.006900381
40130101012080,40130101043012,0.486108946,0.517563851
40130101012080,40130101043020,0.513891054,0.482436149
40130101012081,40130101043020,1,1
40130101012082,40130101043013,1,1
40130101012083,40130101043012,1,1
40130101012084,40130101043021,1,1
40130101012085,40130101043023,1,1
40130101012086,40130101043020,1,1
40130101012087,40130101043014,1,1
40130101012088,40130101043020,1,1
40130101012089,40130101043022,1,1
40130101012090,40130101032124,1,1
40130101012091,40130101041020,1,1
40130101012092,40130101032068,0.191277273,0.249524651
40130101012092,40130101032083,0.28691591,0.364817782
40130101012092,40130101032118,0.28691591,0.166921322
40130101012092,40130101032122,0.234890907,0.173365028
40130101012092,40139807001003,0,0.045371217
40130101012093,40130101032069,0.045001548,0.217559254
40130101012093,40130101032084,0.202506965,0.30148972
40130101012093,40130101032119,0.495017025,0.161147265
40130101012093,40130101032120,0.180006191,0.105415385
40130101012093,40130101032121,0.077468272,0.172433515
40130101012093,40139807001003,0,0.041954861
40130101012094,40130101032078,0.157891143,0.236185685
40130101012094,40130101032085,0.842108857,0.763814315
