geoid20,aland20,awater20,lat20,lon20,name,land_acre
4.01361E+13,1649608,8341,33.6781607,-112.0735463,Deer Valley,407.6263848
4.01312E+13,83374,6530,33.4881586,-112.130169,Maryvale,20.60213227
4.01311E+13,2213513,2761,33.5121661,-111.9651038,Camelback East,546.9701299
4.01311E+13,7004,454,33.4863287,-112.0414114,Camelback East,1.73072342
4.01312E+13,265113,78103,33.3009473,-112.0076755,Ahwatukee Foothills,65.51074787
4.01311E+13,0,1742,33.539677,-112.0473385,Camelback East,0
4.01311E+13,10137,730,33.5364304,-112.0415437,Camelback East,2.504903385
4.01312E+13,1556074,103256,33.3670756,-112.1395911,Laveen,384.5136658
4.01311E+13,0,44578,33.399318,-112.1841064,Laveen,0
4.0131E+13,177715,19125,33.5794345,-111.9672539,Paradise Valley,43.91426508
4.01311E+13,9737,305,33.4996028,-112.0910267,Encanto,2.406061385
4.01311E+13,497429,22,33.4496959,-112.001758,Central City,122.917193
4.01361E+13,9007010,1898,33.8973221,-112.2095607,Rio Vista,2225.677206
4.01311E+13,78287,340,33.4591077,-112.0108083,Central City,19.34510914
4.01361E+13,2572795,1726,33.762627,-112.1197488,North Gateway,635.7505085
4.0131E+13,0,23669,33.568578,-112.0841225,North Mountain,0
4.01312E+13,41776,72,33.3419788,-111.990023,Ahwatukee Foothills,10.32305848
4.01361E+13,14408381,2569,33.7800563,-112.1502101,North Gateway,3560.382987
4.0131E+13,30609,2572,33.5718001,-112.1320887,North Mountain,7.563636945
4.0131E+13,439417,3577,33.587699,-111.957682,Paradise Valley,108.5821378
4.01361E+13,112631,73345,33.7047485,-112.050681,Deer Valley,27.83168326
4.01312E+13,4389,2475,33.503983,-112.075381,Encanto,1.084543845
4.01311E+13,0,2089,33.4952429,-111.9754523,Camelback East,0
4.01361E+13,1538697,7970,33.854448,-112.207587,Rio Vista,380.2197222
4.01311E+13,36399,4584,33.487805,-112.1646001,Maryvale,8.994374895
4.01311E+13,175685,26546,33.516594,-112.0154916,Camelback East,43.41264193
4.01311E+13,65961,1866,33.4862517,-112.0400357,Camelback East,16.29929291
4.01361E+13,189,25283,33.7123151,-112.04857,Desert View,0.046702845
4.01312E+13,3786,151,33.4888979,-112.1128669,Encanto,0.93553953
4.01311E+13,148444,9900,33.4980717,-112.1040599,Alhambra,36.68125462
4.01311E+13,149748,8783,33.4996246,-111.9770264,Camelback East,37.00347954
4.01312E+13,98400,9101,33.4886581,-112.1119801,Encanto,24.315132
4.0131E+13,184626,27933,33.5790012,-111.9623605,Paradise Valley,45.62200773
4.01361E+13,163581,1442,33.8755446,-112.2053536,Rio Vista,40.42168301
4.01361E+13,500442,4282,33.7934016,-112.0495528,Desert View,123.6617204
4.01311E+13,37237,5283,33.4785009,-112.0323286,Encanto,9.201448885
4.01361E+13,2408809,1255,33.8367305,-112.1607453,North Gateway,595.2287479
4.01311E+13,46198,6670,33.4907652,-111.9567137,Camelback East,11.41575679
4.01311E+13,18644,300,33.4385833,-111.96401,Camelback East,4.60702562
4.01361E+13,2236786,4893,33.801622,-112.1912704,North Gateway,552.7210045
4.01361E+13,0,3262,33.7118388,-112.0487175,Desert View,0
4.0131E+13,179442,18524,33.5802576,-112.145608,North Mountain,44.34101541
4.01311E+13,11910,242,33.4601555,-112.0107814,Central City,2.94302055
4.01311E+13,0,5129,33.4472621,-111.9887334,Camelback East,0
4.01311E+13,0,10199,33.5535997,-112.0618181,North Mountain,0
4.01311E+13,37667,10240,33.4892613,-111.962934,Camelback East,9.307704035
4.01308E+13,758048,2146,33.4992376,-112.3061198,Maryvale,187.317451
4.01311E+13,613459,24992,33.4981668,-112.1908256,Maryvale,151.5887862
4.0131E+13,0,3388,33.5679695,-112.0812635,North Mountain,0
4.0131E+13,100716,2234,33.5691377,-112.1192688,North Mountain,24.88742718
4.0131E+13,134060,5660,33.5755866,-112.1388392,North Mountain,33.1268963
4.01361E+13,124798,1048,33.7576002,-111.9679793,Desert View,30.83820979
4.01311E+13,0,5473,33.4476845,-111.9503523,Camelback East,0
4.01312E+13,3935578,873,33.3433655,-112.0696822,South Mountain,972.5010017
4.01308E+13,1263221,1855,33.4867071,-112.2682581,Maryvale,312.1482252
4.01311E+13,130181,5594,33.4914374,-111.9582506,Camelback East,32.16837601
