name,Hou_10E,Hou_20E,Pop_10E,Pop_20E,AREALAND_ACRE10,AREALAND10,AREALAND_ACRE20,AREALAND20,HouDen_10,PopDen_10,HouDen_20,PopDen_20
Glendale,90505,91912,226721,248325,38232.52495269,154721778,39421.27149356,159532472.0,2.3672252908222364,5.930055634058983,2.3315331169623756,6.2992640924980625
Goodyear,25027,36205,65275,95294,122494.96670834001,495720308,122431.26254513001,495462506.0,0.20431043554294911,0.532879037841771,0.2957169537204951,0.7783469517426008
Goodyear Village,121,120,457,463,2144.84718371,8679902,2144.84718371,8679902.0,0.05641427553393479,0.21306879271907603,0.055948041851836154,0.21586619481166783
Guadalupe,1376,1457,5523,5322,520.475531765,2106293,514.4614902750001,2081955.0,2.6437361912745554,10.611449843320763,2.832087585838885,10.344797619653086
Kaka,57,28,141,83,163.74239851500002,662643,163.74239851500002,662643.0,0.3481077626622061,0.8611086760591414,0.17100030446564513,0.5068937596660195
Komatke,246,239,821,1013,1433.813665935,5802447,1433.813665935,5802447.0,0.17157041102658319,0.5725988107838407,0.16668832615997312,0.7065074242680032
Litchfield Park,2716,2991,5476,6847,2110.691095085,8541677,2098.8038619550002,8493571.0,1.2867823275156345,2.594410907759799,1.4250974348855705,3.262334382033267
Scottsdale,124001,136490,217385,241361,117689.37195823001,476272726,117761.61508182001,476565084.0,1.053629549862923,1.8471081660385926,1.1590364135645357,2.0495727732020654
Sun City,28169,28344,37499,39931,9215.082903375,37292175,9228.856783180001,37347916.0,3.0568363079710523,4.069306851950956,3.0712363043338358,4.326754758268219
Sun City West,18218,18332,24535,25806,6993.22668194,28300628,6944.32064876,28102712.0,2.6050921596818766,3.508394781962611,2.6398550595836068,3.7161302458877676
Sun Lakes,10028,10222,13975,14868,3402.2570380350003,13768467,3440.0455701600004,13921392.0,2.947455141658476,4.107567371826606,2.971472264399266,4.322035768644912
Surprise,52586,58831,117517,143148,67629.69943313001,273688106,70592.89907164,285679768.0,0.777557795477049,1.7376537377073056,0.8333841048275459,2.0277960231485705
Tempe,73462,82626,161719,180587,25589.528099130002,103557306,25562.606503590003,103448358.0,2.8707836938383235,6.319733579045491,3.232299491383871,7.064498683834859
Tonopah,30,13,60,23,874.23228529,3537898,874.23228529,3537898.0,0.0343158225848962,0.0686316451697924,0.014870189786788352,0.026308797315087087
Tolleson,2169,2294,6545,7216,3697.8153748550003,14964551,3669.42375167,14849654.0,0.5865625457531263,1.7699639750826242,0.6251662809333406,1.9665213091608482
El Mirage,11326,11481,31797,35805,6366.832062975001,25765695,6334.53519237,25634994.0,1.7789066662939044,4.994163452953141,1.8124455309410799,5.65234842220585
Fountain Hills,13167,13883,22489,23820,12983.13293238,52540956,12981.168694735,52533007.0,1.0141619953040328,1.7321705105485223,1.0694722737584306,1.8349657538662982
Gila Bend,943,715,1922,1892,35322.05109645,142943490,41193.99386778,166706436.0,0.02669720389184237,0.05441360114540937,0.017356899219214558,0.04592902562622929
Gila Crossing,141,141,621,636,556.9803534150001,2254023,556.9803534150001,2254023.0,0.25315076040921397,1.1149405830788786,0.25315076040921397,1.1418715150373056
Gilbert,74907,93230,208453,267918,43520.268260645,176120549,43855.86477351,177478662.0,1.7211980301081402,4.7897912474152236,2.125827423116125,6.109057508810746
Wickenburg,3619,4499,6363,7474,12003.273390895001,48575599,16551.192977525,66980405.0,0.30150108909001166,0.5301053964851462,0.2718233063990752,0.45156865792991513
Peoria,64818,76546,154065,190985,111861.50975364,452688168,112690.802041,456044200.0,0.5794486427257505,1.3772833956855002,0.6792568569362961,1.6947700836357027
Phoenix,590149,630752,1445632,1608139,330751.01955317,1338503954,331512.38860655,1341585110.0,1.7842696321760858,4.370755990270219,1.9026498606922277,4.850916753848959
Ahwatukee Foothills_bg,33528,34527,77344,80604,29912.92733967,121053509,29844.149614219998,120775175.0,1.1208531889667566,2.5856379458197574,1.1569101631747865,2.700830851001839
Alhambra_bg,52611,53582,127764,146250,12513.91785037,50642107,12596.49836483,50976299.0,4.204198927072583,10.209752175752248,4.253721823963666,11.610369466512749
Camelback East_bg,70693,75483,135242,145354,24455.83556375,98969408,24347.16916431,98529650.0,2.890639324742013,5.530050267448818,3.100278290695451,5.970057505209738
Central City_bg,22418,26236,57023,61047,14408.50944464,58309259,14040.4270266,56819680.0,1.555886130077081,3.9575918813179314,1.8686041350662006,4.34794468033947
